index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
84523,2010-2013,United States,Very important,Very important,Rather happy,7,Strongly disagree,Agree,Single,No children,6,Quite a lot,Not much respect,Protestant,A religious person,8,7,2,Full time,No,Male,,,"University-level education, with degree",,US: Hispanic,2011
84524,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree strongly,Married,2 children,Completely satisfied,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,5,5,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84525,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Agree,Agree,Married,1 child,8,Quite a lot,Fairly muchrespect,Protestant,A religious person,5,6,6,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84526,2010-2013,United States,Very important,Very important,Not at all happy,3,Strongly disagree,Disagree,Separated,3 children,Completely dissatisfied,Not very much,Not much respect,Roman Catholic,An atheist,5,5,Always justifiable,No answer;SG: Refused,Yes,Female,,,Incomplete secondary school: university-preparatory type,,"US: 2+Races, Non-Hispanic",2011
84527,2010-2013,United States,Very important,Not very important,Not very happy,5,Strongly disagree,Disagree,Single,1 child,Completely dissatisfied,Quite a lot,Not much respect,None,Not a religious person,5,5,5,Students,No,Female,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
84528,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Agree,Divorced,1 child,6,Not very much,Not much respect,None,Not a religious person,8,4,5,Full time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84529,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Disagree,Widowed,3 children,6,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,5,Never justifiable,Never justifiable,Retired,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84530,2010-2013,United States,Not very important,Not at all important,Not very happy,2,Disagree,Agree,Single,No children,Completely dissatisfied,None at all,Fairly muchrespect,None,An atheist,Never justifiable,Always justifiable,Always justifiable,Unemployed,No,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84531,2010-2013,United States,Not at all important,Not at all important,Not at all happy,Completely dissatisfied,Strongly disagree,Strongly disagree,Living together as married,No children,Completely dissatisfied,None at all,No respect at all,Other;Not specific,An atheist,Never justifiable,Never justifiable,Never justifiable,Other,No,Male,,,No formal education,No answer,US: Hispanic,2011
84532,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Strongly disagree,Strongly disagree,Married,1 child,Completely satisfied,A great deal,A great deal of respect for individual human rights,Hindu,A religious person,Never justifiable,Never justifiable,Never justifiable,Housewife,Yes,Female,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
84533,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Disagree,Married,1 child,9,Quite a lot,Not much respect,Protestant,A religious person,5,5,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84534,2010-2013,United States,Very important,Rather important,Rather happy,9,Strongly disagree,Disagree,Married,3 children,7,None at all,Fairly muchrespect,Roman Catholic,A religious person,6,7,7,Full time,Yes,Male,,,"University-level education, with degree",,US: Hispanic,2011
84535,2010-2013,United States,Very important,Rather important,Rather happy,8,Strongly disagree,Agree strongly,Single,No children,8,Quite a lot,Not much respect,Protestant,A religious person,2,5,5,Students,No,Male,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
84536,2010-2013,United States,Very important,Rather important,Rather happy,5,Disagree,Agree,Married,3 children,5,Quite a lot,Not much respect,None,Not a religious person,5,5,5,Part time,No,Male,,,Incomplete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84537,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Agree strongly,Married,2 children,7,Not very much,A great deal of respect for individual human rights,Protestant,Not a religious person,6,3,6,Full time,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84538,2010-2013,United States,Very important,Rather important,Rather happy,3,Agree strongly,Disagree,Single,4 children,2,A great deal,Not much respect,Hindu,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Housewife,No answer,Male,,,"Some university-level education, without degree",No answer,"US: Black, Non-Hispanic",2011
84539,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree,Separated,3 children,8,Not very much,Not much respect,None,A religious person,Never justifiable,3,5,Full time,Yes,Male,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84540,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Strongly disagree,Disagree,Single,No children,Completely satisfied,Quite a lot,Not much respect,Other;Not specific,A religious person,2,2,2,Unemployed,No,Male,,,"University-level education, with degree",,"US: Black, Non-Hispanic",2011
84541,2010-2013,United States,Very important,Very important,Rather happy,6,Strongly disagree,Disagree,Married,No children,4,Not very much,Not much respect,Protestant,A religious person,5,5,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84542,2010-2013,United States,Very important,Not very important,Not very happy,7,Disagree,Agree strongly,Separated,1 child,5,Not very much,Not much respect,None,Not a religious person,5,6,8,Full time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84543,2010-2013,United States,Very important,Not very important,Rather happy,7,Strongly disagree,Agree,Married,1 child,5,Quite a lot,A great deal of respect for individual human rights,Roman Catholic,A religious person,5,5,5,Full time,No,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84544,2010-2013,United States,Very important,Not at all important,Very happy,9,Strongly disagree,Agree,Married,No children,7,Not very much,A great deal of respect for individual human rights,None,Not a religious person,Always justifiable,8,8,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84545,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Agree,Single,No children,7,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,Never justifiable,Never justifiable,Full time,Yes,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84546,2010-2013,United States,Very important,Rather important,Rather happy,7,Disagree,Agree strongly,Married,No children,5,Quite a lot,Not much respect,Protestant,A religious person,3,Never justifiable,5,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84547,2010-2013,United States,Very important,Not at all important,Very happy,8,Disagree,Disagree,Single,No children,6,Not very much,Not much respect,None,Not a religious person,Always justifiable,6,7,Full time,No,Male,,,"University-level education, with degree",,US: Hispanic,2011
84548,2010-2013,United States,Very important,Very important,Rather happy,4,Strongly disagree,Agree,Married,4 children,5,Quite a lot,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,7,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84549,2010-2013,United States,Very important,Rather important,Very happy,9,Strongly disagree,Agree,Single,2 children,5,Quite a lot,Not much respect,None,A religious person,Always justifiable,2,7,Students,Yes,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84550,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Disagree,Disagree,Married,2 children,5,Not very much,Not much respect,None,A religious person,5,5,5,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84551,2010-2013,United States,Very important,Rather important,Very happy,2,Disagree,Disagree,Married,3 children,9,Quite a lot,A great deal of respect for individual human rights,Other;Not specific,Not a religious person,5,5,5,Full time,No,Male,,,"Some university-level education, without degree",,US: Hispanic,2011
84552,2010-2013,United States,Very important,Not very important,Not very happy,7,Strongly disagree,Strongly disagree,Living together as married,3 children,3,A great deal,Not much respect,Roman Catholic,A religious person,5,Never justifiable,8,Part time,Yes,Male,,,Incomplete secondary school: university-preparatory type,,US: Hispanic,2011
84553,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Disagree,Living together as married,2 children,7,Quite a lot,Fairly muchrespect,None,A religious person,Never justifiable,Never justifiable,Always justifiable,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84554,2010-2013,United States,Very important,Not very important,Rather happy,8,Agree,Agree,Married,1 child,9,Not very much,Fairly muchrespect,None,Not a religious person,3,3,5,Retired,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84555,2010-2013,United States,Very important,Not very important,Not very happy,6,Agree,Agree,Single,No children,5,Quite a lot,Fairly muchrespect,Protestant,Not a religious person,4,5,6,Students,No,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84556,2010-2013,United States,Very important,Not very important,Very happy,8,Strongly disagree,Disagree,Married,1 child,8,A great deal,Not much respect,Roman Catholic,Not a religious person,Always justifiable,8,8,Full time,No,Female,,,"Some university-level education, without degree",,US: Hispanic,2011
84557,2010-2013,United States,Very important,Rather important,Very happy,8,Strongly disagree,Agree strongly,Married,1 child,8,Quite a lot,Fairly muchrespect,Protestant,A religious person,Always justifiable,6,9,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84558,2010-2013,United States,Very important,Not at all important,Rather happy,7,Strongly disagree,Agree,Married,No children,6,Not very much,Fairly muchrespect,None,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84559,2010-2013,United States,Very important,Rather important,Rather happy,9,Strongly disagree,No answer,Married,No children,3,No answer,Not much respect,Roman Catholic,A religious person,No answer,5,5,Full time,Yes,Male,,,"Some university-level education, without degree",No answer,"US: White, Non-Hispanic",2011
84560,2010-2013,United States,Very important,Not at all important,Rather happy,8,Disagree,Agree,Married,2 children,6,Not very much,Fairly muchrespect,None,Not a religious person,7,7,7,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84561,2010-2013,United States,Rather important,Not at all important,Not very happy,4,No answer,No answer,Married,1 child,2,No answer,No answer,None,An atheist,No answer,No answer,No answer,Full time,Yes,Male,,,"University-level education, with degree",No answer,"US: White, Non-Hispanic",2011
84562,2010-2013,United States,No answer,No answer,No answer,No answer; BH: Refused,No answer,No answer,Living together as married,No answer,No answer; BH: Refused,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer;SG: Refused,No answer,Male,,,Complete secondary school: university-preparatory type,No answer,"US: White, Non-Hispanic",2011
84563,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree strongly,Single,No children,7,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,9,Always justifiable,Students,No,Male,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84564,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree strongly,Married,No children,9,Not very much,Not much respect,Roman Catholic,A religious person,Never justifiable,Never justifiable,Never justifiable,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
84565,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree,Single,2 children,7,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Full time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
84566,2010-2013,United States,Very important,Very important,Rather happy,8,Strongly disagree,Disagree,Single,No children,7,Not very much,Not much respect,None,A religious person,5,5,5,No answer;SG: Refused,No,Male,,,"Some university-level education, without degree",No answer,"US: White, Non-Hispanic",2011
84567,2010-2013,United States,Very important,Very important,Rather happy,4,Strongly disagree,Disagree,Living together as married,No answer,Completely dissatisfied,Quite a lot,Not much respect,Protestant,A religious person,6,6,Always justifiable,Unemployed,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84568,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree strongly,Married,1 child,5,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Unemployed,No,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84569,2010-2013,United States,Very important,Not very important,Rather happy,7,Disagree,Agree,Married,No children,8,Quite a lot,Fairly muchrespect,None,A religious person,5,5,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84570,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Agree,Living together as married,6 children,5,Not very much,Not much respect,Other;Not specific,A religious person,No answer,No answer,No answer,Housewife,No,Male,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
84571,2010-2013,United States,Very important,Rather important,Not very happy,6,Disagree,Disagree,Single,No children,4,Quite a lot,Fairly muchrespect,Protestant,A religious person,Never justifiable,5,4,Full time,Yes,Male,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
84572,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Agree,Married,1 child,8,Not very much,Not much respect,Roman Catholic,A religious person,5,Never justifiable,5,Full time,Yes,Male,,,"Some university-level education, without degree",No answer,US: Hispanic,2011
84573,2010-2013,United States,Very important,Rather important,Rather happy,Completely satisfied,Disagree,Agree,Married,3 children,8,A great deal,Fairly muchrespect,None,A religious person,5,5,5,Full time,Yes,Male,,,Complete primary school,,US: Hispanic,2011
84574,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree strongly,Married,2 children,8,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Always justifiable,5,5,Housewife,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84575,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree,Married,No children,8,Not very much,A great deal of respect for individual human rights,Other;Not specific,A religious person,Never justifiable,2,6,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84576,2010-2013,United States,Very important,Not very important,Very happy,6,Strongly disagree,Agree,Married,1 child,5,Quite a lot,Not much respect,Hindu,A religious person,6,6,8,Full time,Yes,Male,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
84577,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Disagree,Divorced,3 children,7,Quite a lot,Not much respect,Other;Not specific,A religious person,5,5,5,Unemployed,Yes,Female,,,Incomplete secondary school: university-preparatory type,No answer,"US: Black, Non-Hispanic",2011
84578,2010-2013,United States,Rather important,Not at all important,Rather happy,7,Strongly disagree,Disagree,Single,No children,5,A great deal,Fairly muchrespect,None,An atheist,7,5,5,Students,No,Male,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84579,2010-2013,United States,Very important,Very important,Very happy,3,Disagree,Agree,Widowed,1 child,5,Not very much,Fairly muchrespect,Protestant,A religious person,2,7,7,Part time,Yes,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84580,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree,Married,3 children,6,Not very much,Fairly muchrespect,Roman Catholic,A religious person,3,2,3,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84581,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Single,No children,7,A great deal,No respect at all,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Part time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84582,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Disagree,Married,2 children,7,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,5,5,Retired,Yes,Male,,,"University-level education, with degree",,"US: Black, Non-Hispanic",2011
84583,2010-2013,United States,Very important,Very important,Rather happy,7,Disagree,Disagree,Married,6 children,2,Quite a lot,Fairly muchrespect,No answer,A religious person,2,2,5,Housewife,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84584,2010-2013,United States,Very important,Rather important,Very happy,Completely satisfied,Strongly disagree,Agree strongly,Married,2 children,Completely satisfied,A great deal,A great deal of respect for individual human rights,None,A religious person,5,Always justifiable,Always justifiable,Full time,No,Female,,,Incomplete secondary school: university-preparatory type,No answer,US: Hispanic,2011
84585,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Agree strongly,Agree strongly,Married,1 child,Completely satisfied,A great deal,A great deal of respect for individual human rights,None,A religious person,Always justifiable,Never justifiable,3,Full time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84586,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree strongly,Married,2 children,7,Not very much,A great deal of respect for individual human rights,Roman Catholic,A religious person,Never justifiable,Never justifiable,6,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84587,2010-2013,United States,Very important,Not very important,Rather happy,9,Disagree,Agree,Married,No children,7,Not very much,Not much respect,None,An atheist,Always justifiable,9,9,Self employed,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84588,2010-2013,United States,Very important,Not very important,Rather happy,7,Disagree,Disagree,Single,No children,6,Quite a lot,Fairly muchrespect,Roman Catholic,Not a religious person,Always justifiable,6,7,Students,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84589,2010-2013,United States,Very important,Not at all important,Not very happy,2,Disagree,Disagree,Divorced,2 children,2,Quite a lot,Not much respect,None,Not a religious person,2,4,4,Unemployed,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84590,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree,Married,No children,8,Not very much,Fairly muchrespect,None,A religious person,8,8,8,Full time,No,Male,,,Complete primary school,,US: Hispanic,2011
84591,2010-2013,United States,Very important,Very important,Rather happy,8,Strongly disagree,Disagree,Living together as married,2 children,7,Not very much,Not much respect,Protestant,A religious person,5,5,5,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84592,2010-2013,United States,Very important,Very important,Rather happy,7,Disagree,Disagree,Married,3 children,6,Not very much,Not much respect,Protestant,A religious person,Never justifiable,Never justifiable,5,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84593,2010-2013,United States,Very important,Very important,Rather happy,5,Disagree,Agree,Married,1 child,5,Not very much,Not much respect,Roman Catholic,A religious person,5,7,Always justifiable,Housewife,No,Female,,,Incomplete secondary school: university-preparatory type,,US: Hispanic,2011
84594,2010-2013,United States,Very important,Rather important,Rather happy,4,Disagree,Disagree,Living together as married,2 children,Completely dissatisfied,Quite a lot,Fairly muchrespect,None,A religious person,Always justifiable,5,Always justifiable,Unemployed,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84595,2010-2013,United States,Very important,Not very important,Rather happy,8,Disagree,Agree,Married,4 children,6,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,Always justifiable,5,7,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84596,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Agree strongly,Married,No children,7,Not very much,Fairly muchrespect,None,Not a religious person,Never justifiable,Never justifiable,6,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84597,2010-2013,United States,Very important,Not very important,Rather happy,5,Disagree,Agree,Living together as married,No children,4,Not very much,Not much respect,Roman Catholic,An atheist,Always justifiable,Always justifiable,Always justifiable,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84598,2010-2013,United States,Very important,Rather important,Rather happy,6,Disagree,Agree,Married,4 children,3,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,2,2,Students,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84599,2010-2013,United States,Very important,Rather important,Rather happy,7,Disagree,Disagree,Married,No children,9,Quite a lot,Not much respect,Protestant,A religious person,5,5,Always justifiable,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84600,2010-2013,United States,Very important,Rather important,Rather happy,5,Agree,Agree,Married,3 children,6,A great deal,Fairly muchrespect,Roman Catholic,An atheist,4,Never justifiable,Never justifiable,Part time,No,Female,,,Incomplete secondary school: university-preparatory type,,US: Hispanic,2011
84601,2010-2013,United States,Very important,Not at all important,Very happy,5,Disagree,Agree,Living together as married,1 child,7,Not very much,Not much respect,None,Not a religious person,5,5,5,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84602,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree strongly,Married,3 children,9,Not very much,A great deal of respect for individual human rights,Protestant,A religious person,Never justifiable,Never justifiable,6,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84603,2010-2013,United States,Very important,Not at all important,Rather happy,8,Strongly disagree,Strongly disagree,Married,4 children,7,Not very much,Not much respect,Roman Catholic,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84604,2010-2013,United States,Very important,Rather important,Rather happy,9,Strongly disagree,Strongly disagree,Single,No children,9,Quite a lot,Fairly muchrespect,Protestant,A religious person,Always justifiable,Always justifiable,Always justifiable,Full time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84605,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Disagree,Separated,1 child,5,A great deal,Not much respect,Roman Catholic,A religious person,Never justifiable,Never justifiable,Never justifiable,Full time,No,Male,,,Incomplete secondary school: university-preparatory type,NAP (No formal education; IN: Incomplete primary school),US: Hispanic,2011
84606,2010-2013,United States,Rather important,Not very important,Rather happy,6,Strongly disagree,Agree,Single,No children,7,Not very much,A great deal of respect for individual human rights,None,Not a religious person,3,5,8,Full time,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84607,2010-2013,United States,Very important,Rather important,Very happy,8,Strongly disagree,Agree,Married,No children,5,Not very much,Fairly muchrespect,Protestant,A religious person,5,2,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84608,2010-2013,United States,Very important,Rather important,Rather happy,8,Strongly disagree,Agree,Married,2 children,8,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,Always justifiable,7,7,Full time,Yes,Female,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
84609,2010-2013,United States,Very important,Not very important,Rather happy,8,Strongly disagree,Agree,Single,No children,9,Not very much,Not much respect,Protestant,Not a religious person,Always justifiable,8,8,Full time,Yes,Female,,,"University-level education, with degree",,"US: Black, Non-Hispanic",2011
84610,2010-2013,United States,Very important,Rather important,Not at all happy,3,Agree,Agree,Single,No children,Completely dissatisfied,Quite a lot,Not much respect,None,Not a religious person,8,7,Always justifiable,Students,No,Male,,,Complete secondary school: university-preparatory type,,US: Hispanic,2011
84611,2010-2013,United States,Rather important,Rather important,Rather happy,7,Strongly disagree,Agree,Single,No children,2,Not very much,Not much respect,Roman Catholic,A religious person,5,5,5,Unemployed,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84612,2010-2013,United States,Very important,Not at all important,Rather happy,6,Strongly disagree,Disagree,Married,3 children,6,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,Always justifiable,7,Always justifiable,Part time,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84613,2010-2013,United States,Very important,Rather important,Not very happy,3,Disagree,Agree,Married,2 children,6,None at all,No respect at all,None,A religious person,Never justifiable,5,5,Self employed,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84614,2010-2013,United States,Very important,Not very important,Rather happy,5,Disagree,Agree,Single,No children,5,Not very much,Not much respect,None,Not a religious person,5,5,5,Full time,No,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84615,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Disagree,Divorced,2 children,9,Not very much,Fairly muchrespect,Other;Not specific,A religious person,5,5,5,Part time,Yes,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
84616,2010-2013,United States,Very important,Very important,Very happy,7,No answer,No answer,Married,5 children,5,No answer,Not much respect,Protestant,A religious person,Never justifiable,5,5,Unemployed,No,Female,,,Incomplete secondary school: university-preparatory type,No answer,US: Hispanic,2011
84617,2010-2013,United States,Very important,Rather important,Rather happy,5,Disagree,Strongly disagree,Married,5 children,7,Not very much,Not much respect,None,Not a religious person,5,5,5,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
84618,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Disagree,Agree,Separated,No children,Completely satisfied,Not very much,Not much respect,None,No answer,Never justifiable,Never justifiable,6,Unemployed,No,Female,,,Incomplete secondary school: university-preparatory type,No answer,"US: 2+Races, Non-Hispanic",2011
84619,2010-2013,United States,Very important,Not at all important,Not at all happy,Completely dissatisfied,Strongly disagree,No answer,Divorced,No children,6,Not very much,Fairly muchrespect,None,Not a religious person,Always justifiable,7,7,Full time,Yes,Female,,,"University-level education, with degree",,US: Hispanic,2011
84620,2010-2013,United States,Very important,Not very important,Rather happy,8,Disagree,Agree strongly,Married,6 children,4,Not very much,Fairly muchrespect,None,A religious person,4,6,6,Retired,No,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84621,2010-2013,United States,Very important,Very important,Very happy,No answer; BH: Refused,Disagree,Agree strongly,Married,1 child,6,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,5,Full time,No,Female,,,"University-level education, with degree",,US: Hispanic,2011
84622,2010-2013,United States,Very important,Very important,Rather happy,5,Strongly disagree,Agree strongly,Single,No children,6,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,5,5,6,Part time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84623,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Agree,Married,2 children,8,Quite a lot,Fairly muchrespect,Protestant,A religious person,8,7,8,Retired,No,Female,,,"University-level education, with degree",No answer,"US: White, Non-Hispanic",2011
84624,2010-2013,United States,Very important,Very important,Rather happy,3,Agree strongly,Agree strongly,Married,4 children,3,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,5,5,5,Unemployed,No,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
84625,2010-2013,United States,Very important,Not at all important,Rather happy,7,Strongly disagree,Disagree,Married,3 children,9,Not very much,Fairly muchrespect,None,Not a religious person,Always justifiable,8,5,Retired,No,Female,,,Incomplete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84626,2010-2013,United States,Very important,Rather important,Very happy,9,Strongly disagree,Disagree,Married,2 children,8,No answer,Not much respect,Buddhist,A religious person,Never justifiable,Never justifiable,4,Full time,No,Female,,,Incomplete secondary school: university-preparatory type,,"US: Other, Non-Hispanic",2011
84627,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Disagree,Agree,Married,2 children,4,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,Never justifiable,Part time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
84628,2010-2013,United States,Rather important,Not very important,Rather happy,5,Disagree,Agree,Divorced,1 child,Completely dissatisfied,Quite a lot,Fairly muchrespect,Roman Catholic,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Other,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
